scenario,strategy,regime_gate,agg_sharpe_no_cost,agg_sharpe_with_cost,delta_sharpe,total_trades_no_cost,total_trades_with_cost,bootstrap_ci_low_no_cost,bootstrap_ci_high_no_cost,bootstrap_ci_low_with_cost,bootstrap_ci_high_with_cost,agg_max_drawdown_no_cost,agg_max_drawdown_with_cost,calmar_ratio_no_cost,calmar_ratio_with_cost,n_folds_total
IC_vanilla,IronCondor,vanilla,-2.705546056307472,-2.7047330884047085,-0.0008129679027635284,5,5,-1.44779081550859,0.1902615036292631,-1.4640447834073913,0.1548644948453098,-0.011515,-0.0116045018,-0.2310383327130628,-0.2330002598067499,15
IC_IV_percentile,IronCondor,IV_percentile,-2.686945676146039,-2.680334826630811,-0.006610849515227724,4,4,-1.358151647044496,0.2692698837426735,-1.3748112905571803,0.2354184710363249,-0.0115,-0.0115895018,-0.2261016949152542,-0.2281593227758862,15
IC_HMM,IronCondor,HMM,0.0,0.0,0.0,0,0,,,,,0.0,0.0,,,15
Vertical_vanilla,Vertical,vanilla,-2.1302702414731574,-2.146276315005466,0.01600607353230865,12,12,-1.9567110558646892,-0.2303640308564984,-1.9690451226056207,-0.2514138847810387,-0.0164875,-0.016566625375,-0.2620542900838075,-0.2627808899428045,15
Vertical_IV_percentile,Vertical,IV_percentile,-2.110060083204201,-2.124896864429521,0.01483678122531984,10,10,-1.7917710269752838,-0.1031017608529495,-1.8084980343211867,-0.1305881574273959,-0.01406,-0.01409924355,-0.2606714862643813,-0.2616211954137857,15
Vertical_HMM,Vertical,HMM,-2.867010653986592,-2.8599378307643786,-0.007072823222213476,1,1,-0.7873775886073461,1.0931002488067307,-0.7889275476818892,1.0928884942473365,-0.007625,-0.0077058671249999,0.0190963341858482,0.0156725881860615,15
