scenario,strategy,regime_gate,backtest_scope_yr,backtest_start,backtest_end,train_window_days,test_window_days,step_days,fold_index,train_start,train_end,test_start,test_end,n_trades,metric_sharpe,metric_max_drawdown,metric_win_rate,final_cash,final_unrealised,error
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,0,2024-04-01,2024-07-02,2024-07-03,2024-08-02,0,0.0,0.0,0.0,1000000.0,0.0,
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,1,2024-05-03,2024-08-02,2024-08-05,2024-09-02,0,0.0,0.0,0.0,1000000.0,0.0,
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,2,2024-06-03,2024-09-02,2024-09-03,2024-10-04,1,-3.1878070157891862,-0.0094125,0.0,991950.0,0.0,
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,3,2024-07-03,2024-10-04,2024-10-07,2024-11-06,0,0.0,0.0,0.0,1000000.0,0.0,
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,4,2024-08-05,2024-11-06,2024-11-07,2024-12-05,0,0.0,0.0,0.0,1000000.0,0.0,
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,5,2024-09-03,2024-12-05,2024-12-06,2025-01-06,0,0.0,0.0,0.0,1000000.0,0.0,
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,6,2024-10-07,2025-01-06,2025-01-07,2025-02-13,0,0.0,0.0,0.0,1000000.0,0.0,
IC_vanilla,IronCondor,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,7,2024-11-07,2025-02-13,2025-02-14,2025-03-17,0,0.0,0.0,0.0,1000000.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,0,2024-04-01,2024-07-02,2024-07-03,2024-08-02,0,0.0,0.0,0.0,1000000.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,1,2024-05-03,2024-08-02,2024-08-05,2024-09-02,0,0.0,0.0,0.0,1000000.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,2,2024-06-03,2024-09-02,2024-09-03,2024-10-04,1,-3.1878070157891862,-0.0094125,0.0,991950.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,3,2024-07-03,2024-10-04,2024-10-07,2024-11-06,0,0.0,0.0,0.0,1000000.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,4,2024-08-05,2024-11-06,2024-11-07,2024-12-05,0,0.0,0.0,0.0,1000000.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,5,2024-09-03,2024-12-05,2024-12-06,2025-01-06,0,0.0,0.0,0.0,1000000.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,6,2024-10-07,2025-01-06,2025-01-07,2025-02-13,0,0.0,0.0,0.0,1000000.0,0.0,
IC_IV_percentile,IronCondor,IV_percentile,smoke,2024-04-01,2025-04-01,63,21,21,7,2024-11-07,2025-02-13,2025-02-14,2025-03-17,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,0,2024-04-01,2024-07-02,2024-07-03,2024-08-02,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,1,2024-05-03,2024-08-02,2024-08-05,2024-09-02,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,2,2024-06-03,2024-09-02,2024-09-03,2024-10-04,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,3,2024-07-03,2024-10-04,2024-10-07,2024-11-06,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,4,2024-08-05,2024-11-06,2024-11-07,2024-12-05,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,5,2024-09-03,2024-12-05,2024-12-06,2025-01-06,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,6,2024-10-07,2025-01-06,2025-01-07,2025-02-13,0,0.0,0.0,0.0,1000000.0,0.0,
IC_HMM,IronCondor,HMM,smoke,2024-04-01,2025-04-01,63,21,21,7,2024-11-07,2025-02-13,2025-02-14,2025-03-17,0,0.0,0.0,0.0,1000000.0,0.0,
Vertical_vanilla,Vertical,vanilla,smoke,2024-04-01,2025-04-01,63,21,21,0,2024-04-01,2024-07-02,2024-07-03,2024-08-02,0,0.0,0.0,0.0,1000000.0,0.0,
