scenario,strategy,regime_gate,hedge_mode,backtest_scope_yr,backtest_start,backtest_end,fold_index,date,path,reason,leg
HedgedIC_vanilla,HedgedIC,vanilla,calendar,smoke,2024-04-01,2025-04-01,2,2024-09-10,hedge_attach,hedge_build_fail: calendar hedge: front ATM call strike=21050.0 expiry=2024-10-16 not in chain (underlying=21064),
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,smoke,2024-04-01,2025-04-01,2,2024-09-10,hedge_attach,hedge_build_fail: calendar hedge: front ATM call strike=21050.0 expiry=2024-10-16 not in chain (underlying=21064),
