scenario,strategy,regime_gate,backtest_scope_yr,backtest_start,backtest_end,train_window_days,test_window_days,step_days,n_folds_total,n_folds_failed,agg_sharpe,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,deflated_sharpe,agg_max_drawdown,calmar_ratio,total_trades,n_observations,n_fallback_surface_total,n_fallback_settle_total,n_fallback_settle_3rd_total,settle_3rd_fallback_ratio,fallback_legs_ratio,avg_fallback_rate,cost_model_disabled
IC_vanilla,IronCondor,vanilla,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.7047330884047085,-1.4640447834073913,0.15486449484530987,0.12687312687312688,0.0,-0.0116045018,-0.2330002598067499,5,945,1.0,0.0,0.0,0.0,0.007936507936507936,0.00026455026455026457,False
IC_IV_percentile,IronCondor,IV_percentile,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.680334826630811,-1.3748112905571805,0.23541847103632496,0.15984015984015984,0.0,-0.011589501800000002,-0.22815932277588627,4,945,1.0,0.0,0.0,0.0,0.00980392156862745,0.00026455026455026457,False
IC_HMM,IronCondor,HMM,5yr,2021-04-01,2026-04-28,252,63,63,15,0,0.0,,,1.0,0.0,0.0,,0,945,0.0,0.0,0.0,,,0.0,False
Vertical_vanilla,Vertical,vanilla,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.146276315005466,-1.9690451226056211,-0.25141388478103877,0.014985014985014986,0.0,-0.016566625375000005,-0.2627808899428045,12,945,0.0,0.0,0.0,0.0,0.0,0.0,False
Vertical_IV_percentile,Vertical,IV_percentile,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.124896864429521,-1.8084980343211867,-0.13058815742739593,0.04295704295704296,0.0,-0.014099243550000005,-0.26162119541378576,10,945,0.0,0.0,0.0,0.0,0.0,0.0,False
Vertical_HMM,Vertical,HMM,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.8599378307643786,-0.7889275476818892,1.0928884942473365,1.0,0.0,-0.007705867124999999,0.015672588186061556,1,945,0.0,0.0,0.0,0.0,0.0,0.0,False
