scenario,strategy,regime_gate,backtest_scope_yr,backtest_start,backtest_end,train_window_days,test_window_days,step_days,n_folds_total,n_folds_failed,agg_sharpe,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,deflated_sharpe,agg_max_drawdown,calmar_ratio,total_trades,n_observations,n_fallback_surface_total,n_fallback_settle_total,n_fallback_settle_3rd_total,settle_3rd_fallback_ratio,fallback_legs_ratio,avg_fallback_rate,cost_model_disabled
IC_vanilla,IronCondor,vanilla,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.705546056307472,-1.4477908155085901,0.1902615036292631,0.13986013986013987,0.0,-0.011515,-0.23103833271306287,5,945,1.0,0.0,0.0,0.0,0.007936507936507936,0.00026455026455026457,True
IC_IV_percentile,IronCondor,IV_percentile,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.686945676146039,-1.358151647044496,0.2692698837426735,0.16783216783216784,0.0,-0.0115,-0.22610169491525423,4,945,1.0,0.0,0.0,0.0,0.00980392156862745,0.00026455026455026457,True
IC_HMM,IronCondor,HMM,5yr,2021-04-01,2026-04-28,252,63,63,15,0,0.0,,,1.0,0.0,0.0,,0,945,0.0,0.0,0.0,,,0.0,True
Vertical_vanilla,Vertical,vanilla,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.1302702414731574,-1.9567110558646894,-0.23036403085649845,0.02097902097902098,0.0,-0.0164875,-0.2620542900838075,12,945,0.0,0.0,0.0,0.0,0.0,0.0,True
Vertical_IV_percentile,Vertical,IV_percentile,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.110060083204201,-1.7917710269752838,-0.10310176085294952,0.04695304695304695,0.0,-0.01406,-0.2606714862643813,10,945,0.0,0.0,0.0,0.0,0.0,0.0,True
Vertical_HMM,Vertical,HMM,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.8670106539865916,-0.7873775886073461,1.0931002488067307,0.9310689310689311,0.0,-0.007625,0.01909633418584825,1,945,0.0,0.0,0.0,0.0,0.0,0.0,True
