scenario,strategy,regime_gate,hedge_mode,backtest_scope_yr,backtest_start,backtest_end,train_window_days,test_window_days,step_days,n_folds_total,n_folds_failed,agg_sharpe,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,deflated_sharpe,agg_max_drawdown,calmar_ratio,total_trades,n_observations,n_fallback_surface_total,n_fallback_settle_total,n_fallback_settle_3rd_total,settle_3rd_fallback_ratio,fallback_legs_ratio,avg_fallback_rate,cost_model_disabled
HedgedIC_vanilla,HedgedIC,vanilla,calendar,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.485723568834563,-1.5871267398688875,-0.02184136149862144,0.07792207792207792,0.0,-0.036225,-0.24023924545663675,6,945,4.0,0.0,0.0,0.0,0.028169014084507043,0.0007054673721340387,True
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.410258043958656,-1.2303173354878851,0.6924039712024082,0.35764235764235763,0.0,-0.018375,-0.2145668934240363,5,945,4.0,0.0,0.0,0.0,0.03076923076923077,0.0007054673721340387,True
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,15,0,0.0,,,1.0,1.2587019582532507e-151,0.0,,0,945,0.0,0.0,0.0,,,0.0,True
