scenario,strategy,regime_gate,hedge_mode,backtest_scope_yr,backtest_start,backtest_end,train_window_days,test_window_days,step_days,n_folds_total,n_folds_failed,agg_sharpe,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,deflated_sharpe,agg_max_drawdown,calmar_ratio,total_trades,n_observations,n_fallback_surface_total,n_fallback_settle_total,n_fallback_settle_3rd_total,settle_3rd_fallback_ratio,fallback_legs_ratio,avg_fallback_rate,cost_model_disabled
HedgedIC_vanilla,HedgedIC,vanilla,calendar,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.482402601353049,-1.6063495714506895,-0.055546480321169905,0.07392607392607392,0.0,-0.03770623315,-0.2419133647668543,6,945,4.0,0.0,0.0,0.0,0.028169014084507043,0.0007054673721340387,False
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,15,0,-2.41117101444682,-1.2483667016216202,0.6463403121527392,0.3356643356643357,0.0,-0.019304336324999997,-0.21831723071854034,5,945,4.0,0.0,0.0,0.0,0.03076923076923077,0.0007054673721340387,False
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,15,0,0.0,,,1.0,1.2587019582532507e-151,0.0,,0,945,0.0,0.0,0.0,,,0.0,False
